         N     length    maximum     second
---------- ---------- ---------- ----------
         1          1          1          4 power of two
         2          2          2          1 power of two
         3          8         16         10 odd
         4          3          4          2 power of two
         5          6         16         16 odd
         6          9         16          3 even
         7         17         52         22 odd
         8          4          8          4 power of two
         9         20         52         28 odd
        10          7         16          5 even
        11         15         52         34 odd
        12         10         16          6 even
        13         10         40         40 odd
        14         18         52          7 even
        15         18        160         46 odd
        16          5         16          8 power of two
        17         13         52         52 odd
        18         21         52          9 even
        19         21         88         58 odd
        20          8         20         10 even
        21          8         64         64 odd
        22         16         52         11 even
        23         16        160         70 odd
        24         11         24         12 even
        25         24         88         76 odd
        26         11         40         13 even
        27        112       9232         82 odd
        28         19         52         14 even
        29         19         88         88 odd
        30         19        160         15 even
        31        107       9232         94 odd
        32          6         32         16 power of two
        33         27        100        100 odd
        34         14         52         17 even
        35         14        160        106 odd
        36         22         52         18 even
        37         22        112        112 odd
        38         22         88         19 even
        39         35        304        118 odd
        40          9         40         20 even
        41        110       9232        124 odd
        42          9         64         21 even
        43         30        196        130 odd
        44         17         52         22 even
        45         17        136        136 odd
        46         17        160         23 even
        47        105       9232        142 odd
        48         12         48         24 even
        49         25        148        148 odd
        50         25         88         25 even
        51         25        232        154 odd
        52         12         52         26 even
        53         12        160        160 odd
        54        113       9232         27 even
        55        113       9232        166 odd
        56         20         56         28 even
        57         33        196        172 odd
        58         20         88         29 even
        59         33        304        178 odd
        60         20        160         30 even
        61         20        184        184 odd
        62        108       9232         31 even
        63        108       9232        190 odd
        64          7         64         32 power of two
        65         28        196        196 odd
        66         28        100         33 even
        67         28        304        202 odd
        68         15         68         34 even
        69         15        208        208 odd
        70         15        160         35 even
        71        103       9232        214 odd
        72         23         72         36 even
        73        116       9232        220 odd
        74         23        112         37 even
        75         15        340        226 odd
        76         23         88         38 even
        77         23        232        232 odd
        78         36        304         39 even
        79         36        808        238 odd
        80         10         80         40 even
        81         23        244        244 odd
        82        111       9232         41 even
        83        111       9232        250 odd
        84         10         84         42 even
        85         10        256        256 odd
        86         31        196         43 even
        87         31        592        262 odd
        88         18         88         44 even
        89         31        304        268 odd
        90         18        136         45 even
        91         93       9232        274 odd
        92         18        160         46 even
        93         18        280        280 odd
        94        106       9232         47 even
        95        106       9232        286 odd
        96         13         96         48 even
        97        119       9232        292 odd
        98         26        148         49 even
        99         26        448        298 odd
       100         26        100         50 even
       101         26        304        304 odd
       102         26        232         51 even
       103         88       9232        310 odd
       104         13        104         52 even
       105         39        808        316 odd
       106         13        160         53 even
       107        101       9232        322 odd
       108        114       9232         54 even
       109        114       9232        328 odd
       110        114       9232         55 even
       111         70       9232        334 odd
       112         21        112         56 even
       113         13        340        340 odd
       114         34        196         57 even
       115         34        520        346 odd
       116         21        116         58 even
       117         21        352        352 odd
       118         34        304         59 even
       119         34        808        358 odd
       120         21        160         60 even
       121         96       9232        364 odd
       122         21        184         61 even
       123         47        628        370 odd
       124        109       9232         62 even
       125        109       9232        376 odd
       126        109       9232         63 even
       127         47       4372        382 odd
       128          8        128         64 power of two
       129        122       9232        388 odd
       130         29        196         65 even
       131         29        592        394 odd
       132         29        132         66 even
       133         29        400        400 odd
       134         29        304         67 even
       135         42        916        406 odd
       136         16        136         68 even
       137         91       9232        412 odd
       138         16        208         69 even
       139         42        628        418 odd
       140         16        160         70 even
       141         16        424        424 odd
       142        104       9232         71 even
       143        104       9232        430 odd
       144         24        144         72 even
       145        117       9232        436 odd
       146        117       9232         73 even
       147        117       9232        442 odd
       148         24        148         74 even
       149         24        448        448 odd
       150         16        340         75 even
       151         16       1024        454 odd
       152         24        152         76 even
       153         37        520        460 odd
       154         24        232         77 even
       155         86       9232        466 odd
       156         37        304         78 even
       157         37        472        472 odd
       158         37        808         79 even
       159         55       9232        478 odd
       160         11        160         80 even
       161         99       9232        484 odd
       162         24        244         81 even
       163         24        736        490 odd
       164        112       9232         82 even
       165        112       9232        496 odd
       166        112       9232         83 even
       167         68       9232        502 odd
       168         11        168         84 even
       169         50       4372        508 odd
       170         11        256         85 even
       171        125       9232        514 odd
       172         32        196         86 even
       173         32        520        520 odd
       174         32        592         87 even
       175         81       9232        526 odd
       176         19        176         88 even
       177         32        532        532 odd
       178         32        304         89 even
       179         32        808        538 odd
       180         19        180         90 even
       181         19        544        544 odd
       182         94       9232         91 even
       183         94       9232        550 odd
       184         19        184         92 even
       185         45        628        556 odd
       186         19        280         93 even
       187         45        952        562 odd
       188        107       9232         94 even
       189        107       9232        568 odd
       190        107       9232         95 even
       191         45       4372        574 odd
       192         14        192         96 even
       193        120       9232        580 odd
       194        120       9232         97 even
       195        120       9232        586 odd
       196         27        196         98 even
       197         27        592        592 odd
       198         27        448         99 even
       199        120       9232        598 odd
       200         27        200        100 even
       201         19       1024        604 odd
       202         27        304        101 even
       203         40        916        610 odd
       204         27        232        102 even
       205         27        616        616 odd
       206         89       9232        103 even
       207         89       9232        622 odd
       208         14        208        104 even
       209         40        628        628 odd
       210         40        808        105 even
       211         40        952        634 odd
       212         14        212        106 even
       213         14        640        640 odd
       214        102       9232        107 even
       215        102       9232        646 odd
       216        115       9232        108 even
       217         27        736        652 odd
       218        115       9232        109 even
       219         53       1672        658 odd
       220        115       9232        110 even
       221        115       9232        664 odd
       222         71       9232        111 even
